                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4915,                 3.7296,                 2.0917,                0.08056,                0.16531,                0.07384,                0.01954,                 2.1292,                  4.098,                 3.1268,             0.00041246,             0.00041246,             0.00041246
                      2,                 1.4753,                 2.8451,                 2.0249,                0.14965,                0.21384,                0.09858,                0.02849,                 2.4853,                 2.7162,                 3.2027,             0.00082092,             0.00082092,             0.00082092
                      3,                 1.4953,                 2.3744,                 2.0254,                0.15696,                0.27065,                0.11937,                0.03159,                 2.4678,                 3.0788,                 3.3547,              0.0012211,              0.0012211,              0.0012211
                      4,                 1.5178,                 2.1886,                 2.0338,                0.10516,                 0.2717,                0.07664,                0.02705,                 2.1668,                 3.3611,                 3.0149,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4892,                 2.0147,                 2.0044,                0.64211,                0.22354,                0.29494,                0.11267,                 1.8439,                 2.9258,                  2.711,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4685,                 1.9251,                 1.9922,                0.31752,                0.49764,                0.35619,                0.15614,                 1.7045,                 2.1725,                 2.4708,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.4602,                 1.8267,                  1.968,                0.26554,                 0.4188,                0.27706,                 0.1067,                 1.9909,                 2.2198,                 2.7495,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.4259,                 1.7372,                 1.9421,                 0.4404,                0.53335,                0.49015,                0.23589,                 1.6389,                 1.7219,                 2.4032,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.4127,                 1.6913,                 1.9291,                0.43173,                0.46142,                   0.42,                0.19505,                 1.7617,                 1.9506,                 2.5366,               0.001151,               0.001151,               0.001151
                     10,                 1.3789,                 1.6203,                 1.8974,                0.42404,                0.62322,                0.55668,                0.27194,                 1.6266,                 1.6512,                 2.4229,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3721,                 1.5802,                 1.8848,                0.39005,                0.50483,                0.40694,                0.17875,                 1.8121,                 1.9224,                 2.5551,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.3515,                 1.5371,                 1.8671,                0.56534,                0.61999,                 0.6048,                0.29044,                  1.609,                  1.593,                  2.373,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.3542,                 1.4956,                 1.8621,                 0.5644,                0.63136,                 0.6329,                0.33045,                 1.5463,                  1.494,                 2.3353,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.3506,                 1.4628,                 1.8675,                0.52558,                 0.5515,                0.55679,                0.28845,                  1.612,                 1.6447,                 2.4442,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.3062,                 1.4168,                 1.8238,                0.55746,                0.69946,                0.66889,                0.36592,                 1.5429,                 1.3536,                 2.3262,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.3083,                 1.3687,                 1.8209,                0.68508,                0.66383,                0.74195,                0.39589,                  1.505,                 1.3004,                 2.2519,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.3046,                 1.3501,                 1.8238,                0.66045,                 0.6971,                0.72895,                0.38201,                 1.5634,                    1.3,                 2.3492,               0.001052,               0.001052,               0.001052
                     18,                 1.2739,                 1.2994,                 1.7964,                0.67669,                0.66283,                0.72659,                0.40556,                 1.4657,                  1.295,                 2.2709,              0.0010396,              0.0010396,              0.0010396
                     19,                   1.29,                 1.3151,                 1.8017,                0.71406,                0.65663,                0.69895,                0.38876,                  1.445,                 1.3187,                 2.2584,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.2801,                 1.2523,                 1.7914,                 0.7029,                0.74626,                0.77798,                0.45466,                 1.4156,                 1.1801,                 2.1922,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.2612,                 1.2543,                 1.7789,                0.74871,                0.70004,                0.77048,                0.43325,                 1.4407,                 1.1701,                 2.2183,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.2563,                 1.2054,                 1.7673,                0.73087,                0.69149,                0.78109,                0.44868,                 1.4171,                 1.1541,                 2.2029,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.2371,                 1.2172,                 1.7613,                0.76697,                0.71171,                0.80671,                0.45859,                 1.4224,                 1.1082,                 2.2016,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.2255,                 1.1582,                 1.7407,                 0.7982,                 0.6971,                0.81503,                0.46478,                 1.4167,                  1.063,                 2.2102,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.2195,                 1.1463,                 1.7475,                0.79989,                0.79853,                0.85723,                0.51292,                  1.348,                0.97818,                 2.1621,               0.000953,               0.000953,               0.000953
                     26,                 1.2266,                 1.1421,                 1.7516,                0.76345,                0.71004,                0.80662,                0.46138,                 1.4281,                 1.0681,                 2.2461,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.2122,                  1.131,                 1.7321,                0.79643,                0.76926,                0.83636,                 0.4719,                 1.4203,                 1.0655,                  2.209,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.2137,                 1.1196,                  1.727,                0.79305,                0.78247,                0.83507,                0.49935,                 1.3538,                 1.0173,                  2.117,             0.00091588,             0.00091588,             0.00091588
                     29,                  1.207,                 1.1026,                 1.7379,                0.80509,                0.76586,                0.84935,                0.50682,                 1.3234,                0.97902,                 2.1275,              0.0009035,              0.0009035,              0.0009035
                     30,                  1.195,                 1.0894,                 1.7229,                0.81715,                0.80555,                0.86845,                0.52893,                 1.3316,                0.94604,                 2.1094,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.1863,                 1.0639,                 1.7093,                0.78054,                0.81728,                0.86421,                0.51955,                 1.3454,                0.92675,                 2.1383,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.1842,                 1.0481,                 1.7111,                0.79432,                0.78147,                0.85918,                0.50879,                 1.3533,                0.98256,                 2.1193,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.1603,                 1.0223,                 1.6951,                0.80759,                0.75516,                0.82862,                0.49202,                 1.3545,                 1.0102,                 2.1465,               0.000854,               0.000854,               0.000854
                     34,                 1.1678,                 1.0363,                 1.6949,                0.79728,                0.78682,                0.86149,                0.51341,                 1.3537,                0.97137,                 2.1164,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.1576,                 1.0199,                 1.6819,                0.88545,                0.77137,                0.86438,                0.51935,                 1.3411,                0.91588,                 2.1594,             0.00082925,             0.00082925,             0.00082925
