                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1436,                 0.9975,                 1.6743,                0.83338,                0.81827,                0.87507,                 0.5385,                 1.2634,                0.90974,                   2.06,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1473,                0.97777,                 1.6818,                0.82033,                0.82345,                0.86518,                0.53143,                 1.3186,                0.92957,                 2.1116,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1347,                0.97275,                 1.6724,                0.86128,                0.83894,                0.89374,                0.55072,                 1.2824,                0.84236,                 2.0765,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.1245,                0.96251,                 1.6584,                0.86619,                0.82796,                0.90256,                0.54714,                 1.3109,                0.86774,                 2.0952,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1384,                0.98041,                 1.6727,                0.84501,                0.76807,                0.86728,                0.54498,                 1.2749,                 0.9025,                 2.0762,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.1273,                0.95538,                 1.6669,                0.84915,                0.78226,                0.86911,                0.52776,                 1.2833,                 0.8747,                 2.0756,               0.000755,               0.000755,               0.000755
                     42,                 1.1228,                0.93622,                 1.6557,                0.88317,                0.80607,                0.88411,                0.56339,                 1.2267,                0.81542,                 2.0447,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.1101,                0.92009,                 1.6559,                0.87987,                0.80827,                0.89288,                0.57494,                 1.2439,                0.80924,                 2.0801,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1248,                0.90869,                 1.6447,                0.88648,                0.82302,                0.89908,                 0.5669,                 1.2472,                0.83167,                 2.0651,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.1385,                 0.9552,                 1.6855,                 0.8678,                0.81764,                0.88859,                0.56513,                 1.2648,                0.83275,                 2.0708,              0.0007055,              0.0007055,              0.0007055
                     46,                  1.117,                0.92309,                 1.6545,                0.88025,                0.82001,                0.89551,                 0.5552,                 1.2593,                0.85685,                 2.0408,             0.00069313,             0.00069313,             0.00069313
                     47,                  1.106,                0.89524,                  1.644,                0.91472,                0.83993,                0.91203,                0.58615,                 1.2206,                0.76384,                 2.0258,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1019,                0.88023,                   1.63,                0.90096,                0.82462,                0.90437,                 0.5718,                 1.2435,                0.80459,                 2.0256,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0857,                0.88303,                 1.6178,                0.86845,                0.83236,                0.90314,                0.57373,                 1.2371,                0.82954,                 2.0527,               0.000656,               0.000656,               0.000656
                     50,                 1.0956,                0.86299,                 1.6367,                0.89968,                0.84726,                0.91743,                0.59512,                 1.2166,                0.76263,                 2.0248,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0829,                 0.8775,                 1.6293,                0.88253,                0.83519,                0.90329,                0.57705,                 1.2155,                0.79762,                 2.0159,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0896,                 0.8571,                 1.6311,                0.92063,                0.82335,                0.91297,                0.58869,                  1.201,                 0.7553,                 2.0071,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0818,                0.87074,                 1.6244,                0.86218,                0.84666,                0.91253,                0.58789,                 1.1985,                0.77195,                 1.9946,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0683,                0.83539,                 1.6035,                0.89218,                0.84338,                0.91625,                0.58616,                 1.2279,                0.78819,                 2.0213,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0837,                0.85665,                 1.6155,                0.86548,                0.84049,                 0.9073,                0.59016,                 1.2022,                0.79532,                 2.0062,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0522,                0.82443,                 1.5985,                0.90776,                 0.8323,                 0.9087,                0.58749,                  1.182,                0.74211,                 1.9794,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0566,                0.83052,                  1.604,                0.88178,                  0.841,                0.90883,                0.58456,                 1.2002,                0.76558,                 1.9981,               0.000557,               0.000557,               0.000557
                     58,                 1.0736,                0.82272,                 1.6046,                0.87013,                0.85006,                0.91316,                0.58265,                 1.1837,                0.76392,                 1.9859,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0676,                0.82172,                 1.6055,                0.90091,                0.85685,                0.91593,                0.58632,                 1.2252,                0.72888,                 2.0378,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0398,                0.79032,                 1.5804,                0.88442,                0.85248,                 0.9151,                0.59088,                 1.2115,                0.77483,                  2.013,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0404,                0.79887,                 1.5931,                0.91855,                 0.8256,                 0.9133,                0.59962,                 1.1816,                0.72928,                 1.9983,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0433,                0.77785,                  1.586,                0.91359,                0.84682,                0.92245,                0.60385,                 1.1924,                0.72548,                 2.0043,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0444,                0.78947,                  1.593,                0.89885,                0.85553,                0.91917,                0.59493,                 1.1938,                0.72809,                 1.9907,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0326,                0.78974,                 1.5809,                0.91567,                0.85624,                0.91859,                0.60335,                 1.1844,                0.72606,                 2.0009,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0416,                0.77756,                 1.5803,                0.88507,                0.87286,                0.92369,                0.61424,                 1.1702,                 0.7101,                 1.9695,               0.000458,               0.000458,               0.000458
                     66,                 1.0205,                0.76437,                 1.5615,                0.90611,                0.86458,                0.92091,                0.60557,                 1.1742,                0.72722,                 1.9783,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0248,                0.76491,                 1.5712,                0.92086,                0.85129,                0.92415,                0.60238,                 1.1705,                0.70049,                 1.9878,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0058,                0.73091,                 1.5501,                0.90774,                0.84838,                0.91781,                0.60293,                 1.1827,                0.71831,                 1.9931,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0255,                0.76086,                 1.5692,                0.90308,                0.85442,                0.91162,                0.59314,                 1.2113,                0.71882,                 2.0056,              0.0004085,              0.0004085,              0.0004085
                     70,                  1.017,                0.74811,                 1.5603,                0.92569,                0.84358,                0.90902,                0.60674,                 1.1695,                0.68797,                 1.9698,             0.00039613,             0.00039613,             0.00039613
                     71,                0.99956,                0.74262,                 1.5449,                0.90427,                0.87089,                0.91897,                0.61062,                 1.1721,                0.68737,                 1.9673,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0031,                0.72683,                 1.5525,                0.92512,                0.85924,                0.92443,                0.62244,                 1.1495,                0.66228,                 1.9513,             0.00037138,             0.00037138,             0.00037138
                     73,                0.99288,                0.73029,                 1.5519,                0.90258,                0.86334,                0.92259,                0.60917,                 1.1806,                0.69277,                 1.9656,               0.000359,               0.000359,               0.000359
                     74,                 1.0041,                0.73305,                 1.5492,                0.92245,                0.85785,                0.92046,                0.61188,                 1.1693,                0.69058,                 1.9586,             0.00034663,             0.00034663,             0.00034663
                     75,                0.98675,                0.72079,                 1.5447,                0.92773,                0.86144,                0.92994,                0.61824,                  1.167,                0.67728,                 1.9666,             0.00033425,             0.00033425,             0.00033425
                     76,                0.99072,                0.70975,                 1.5393,                0.91117,                0.86969,                0.91697,                0.61104,                 1.1617,                0.68064,                 1.9461,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.9826,                0.70723,                 1.5313,                 0.9138,                0.87798,                0.91928,                 0.6086,                 1.1616,                0.66201,                 1.9731,              0.0003095,              0.0003095,              0.0003095
                     78,                0.97013,                0.69669,                 1.5232,                 0.9006,                0.87909,                0.92219,                0.60651,                 1.1748,                0.68256,                 1.9651,             0.00029713,             0.00029713,             0.00029713
                     79,                0.97927,                0.69407,                 1.5274,                0.90177,                0.85923,                 0.9141,                0.60608,                 1.1659,                0.69158,                 1.9593,             0.00028475,             0.00028475,             0.00028475
                     80,                0.95873,                0.67476,                 1.5153,                0.91524,                0.86876,                0.92425,                0.62151,                  1.168,                0.68473,                 1.9492,             0.00027237,             0.00027237,             0.00027237
                     81,                0.97433,                0.68822,                 1.5262,                0.91703,                0.88869,                0.93036,                0.62093,                 1.1627,                0.65614,                 1.9501,                0.00026,                0.00026,                0.00026
                     82,                 0.9712,                 0.6817,                 1.5248,                0.93509,                0.84915,                0.92969,                0.62382,                 1.1644,                0.65896,                 1.9441,             0.00024762,             0.00024762,             0.00024762
                     83,                0.95675,                0.68123,                 1.5162,                0.93461,                0.86774,                0.92749,                0.62232,                 1.1718,                0.65454,                 1.9698,             0.00023525,             0.00023525,             0.00023525
                     84,                  0.956,                 0.6673,                 1.5048,                0.91095,                0.88239,                0.92601,                0.62212,                 1.1578,                0.64603,                 1.9544,             0.00022288,             0.00022288,             0.00022288
                     85,                0.96272,                0.67291,                 1.5092,                0.92976,                 0.8721,                0.92917,                0.61388,                 1.1761,                0.64609,                 1.9744,              0.0002105,              0.0002105,              0.0002105
                     86,                0.95708,                0.67206,                 1.5097,                0.92561,                0.87671,                0.92333,                0.61713,                 1.1522,                0.64262,                 1.9491,             0.00019813,             0.00019813,             0.00019813
                     87,                0.95607,                0.67356,                 1.5112,                0.92749,                0.86468,                0.92312,                0.61803,                 1.1486,                0.64998,                 1.9404,             0.00018575,             0.00018575,             0.00018575
                     88,                0.94287,                0.66125,                  1.499,                0.92051,                 0.8812,                0.92107,                0.61969,                 1.1567,                0.65746,                 1.9498,             0.00017338,             0.00017338,             0.00017338
                     89,                0.94372,                0.65578,                 1.5045,                0.92068,                0.87729,                0.92917,                 0.6169,                 1.1585,                0.64857,                 1.9585,               0.000161,               0.000161,               0.000161
                     90,                0.92542,                0.63911,                 1.4876,                0.91775,                0.88618,                0.92868,                0.62462,                  1.149,                0.64586,                 1.9415,             0.00014862,             0.00014862,             0.00014862
                     91,                0.95726,                0.52791,                 1.5739,                0.91931,                0.88074,                0.92477,                0.61916,                 1.1436,                0.63648,                 1.9431,             0.00013625,             0.00013625,             0.00013625
                     92,                0.94213,                0.51051,                 1.5507,                0.91606,                0.88089,                0.92662,                0.62363,                 1.1412,                0.62833,                 1.9434,             0.00012387,             0.00012387,             0.00012387
                     93,                0.91952,                 0.4936,                 1.5281,                0.91708,                0.88614,                0.93073,                0.62337,                 1.1372,                0.63385,                 1.9402,              0.0001115,              0.0001115,              0.0001115
                     94,                0.91317,                0.48153,                 1.5214,                0.89496,                0.90127,                0.93252,                0.62366,                 1.1464,                0.63223,                 1.9484,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.91109,                0.48209,                 1.5203,                0.92864,                0.87285,                0.93547,                0.63126,                  1.136,                0.62436,                 1.9408,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.89772,                0.47001,                  1.505,                0.91639,                 0.8951,                0.93284,                0.63151,                 1.1399,                 0.6264,                 1.9474,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.90375,                0.47771,                 1.5046,                0.92978,                0.88382,                0.93238,                 0.6237,                 1.1445,                0.62828,                 1.9536,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.89663,                0.47685,                 1.5035,                0.93419,                0.87761,                0.93347,                0.62706,                 1.1295,                0.63062,                 1.9377,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.88312,                0.46506,                 1.4984,                 0.9377,                0.88297,                 0.9372,                0.62899,                 1.1329,                0.62887,                  1.944,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.88588,                0.46327,                 1.4992,                0.93068,                0.88136,                0.93582,                0.62853,                 1.1329,                0.62423,                 1.9421,             2.4875e-05,             2.4875e-05,             2.4875e-05
