                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2919,                 2.8402,                  1.964,                0.42715,                 0.5212,                 0.4527,                0.13633,                 2.2977,                 2.7436,                 2.6217,             0.00055201,             0.00055201,             0.00055201
                      2,                 1.2573,                 1.8543,                 1.9163,                0.66581,                0.72319,                0.72077,                0.34239,                 1.5878,                 2.0511,                 2.1706,              0.0010967,              0.0010967,              0.0010967
                      3,                 1.2407,                 1.5292,                 1.8935,                0.59903,                0.62344,                0.52879,                0.15195,                 2.5176,                 1.8085,                 2.6869,              0.0016304,              0.0016304,              0.0016304
                      4,                 1.2404,                 1.4505,                 1.8933,                0.82658,                0.83292,                0.87331,                0.38509,                 1.7749,                 1.2197,                 2.2679,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2014,                 1.3393,                 1.8528,                0.73285,                0.69825,                0.78826,                0.40765,                 1.6135,                 1.5659,                 2.1713,               0.001601,               0.001601,               0.001601
                      6,                 1.1659,                  1.273,                 1.8288,                 0.7311,                0.69077,                0.79623,                0.37291,                  1.673,                  1.432,                 2.2846,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1282,                 1.1954,                 1.7871,                0.85904,                0.74465,                0.87667,                0.46399,                 1.4809,                 1.5711,                 2.1351,               0.001568,               0.001568,               0.001568
                      8,                 1.1395,                 1.1853,                 1.7919,                0.75475,                0.84539,                0.86398,                0.44996,                 1.6087,                 1.4774,                 2.2579,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1039,                 1.1384,                 1.7646,                0.88709,                0.96008,                0.97018,                0.57338,                  1.401,                0.86107,                 2.1113,               0.001535,               0.001535,               0.001535
                     10,                 1.0851,                 1.0903,                 1.7273,                0.86527,                 0.8488,                0.87781,                0.49231,                 1.4357,                 1.1155,                 2.2027,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0532,                 1.0613,                 1.7132,                0.89381,                0.86534,                0.93325,                0.53442,                 1.4348,                0.95348,                 2.0048,               0.001502,               0.001502,               0.001502
                     12,                 1.0655,                 1.0694,                 1.7145,                0.93131,                0.94666,                0.98103,                0.60912,                 1.3013,                0.77821,                 1.8906,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0479,                 1.0147,                 1.6967,                0.92254,                0.95012,                0.97944,                0.62925,                 1.2446,                0.72445,                 1.9223,               0.001469,               0.001469,               0.001469
                     14,                 1.0332,                0.99486,                 1.6939,                0.94678,                0.94264,                0.98536,                0.63024,                 1.2864,                0.75418,                 1.8874,              0.0014525,              0.0014525,              0.0014525
                     15,                  1.029,                0.97219,                 1.6716,                0.93045,                0.93421,                0.97506,                 0.6311,                 1.2259,                0.77198,                 1.8126,               0.001436,               0.001436,               0.001436
                     16,                 1.0064,                0.96684,                 1.6621,                 0.9096,                0.92846,                0.96476,                0.60702,                 1.2804,                0.84225,                 1.9557,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0124,                0.96236,                 1.6669,                0.90145,                0.88778,                0.95903,                 0.6169,                 1.2406,                 1.0839,                  1.822,              0.0014029,              0.0014029,              0.0014029
                     18,                0.99671,                0.94378,                 1.6437,                0.91759,                0.94402,                0.96974,                0.63307,                 1.2528,                0.74219,                 1.9575,              0.0013864,              0.0013864,              0.0013864
                     19,                0.98198,                 0.9366,                 1.6398,                0.94916,                 0.9311,                0.98086,                0.63768,                 1.2387,                0.74989,                 1.8464,              0.0013699,              0.0013699,              0.0013699
                     20,                0.97552,                0.91853,                 1.6319,                0.95652,                0.93271,                0.98259,                0.65233,                 1.1984,                0.72267,                 1.8411,              0.0013534,              0.0013534,              0.0013534
                     21,                0.95649,                0.86881,                 1.6154,                0.94264,                 0.9425,                 0.9802,                0.63574,                 1.2163,                0.74541,                 1.8791,              0.0013369,              0.0013369,              0.0013369
